X,Y,fid,objectid,status,arc_street,gis_id,camtype,camid,uid_no,siteno,quadrant,disttno,yrmnth,location,city,status_1,logno,hprtlocati,site_vst_d,comappdate,schllocati,vendname,n_site_id,depl_id,post_spd,tigr_spd,batry_mont,lanes,dplmt_dat,map_final,contact,email,f2ndemail,editedby
-8529791.5928,4767599.0638,1,1, , ,5140,Portable,0, ,0,2,12,0,500 blk West 28th Street EB,Baltimore,Final, , ,,,Career Academy, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8529392.35,4769666.9219,2,2, , ,5141,Portable,0, ,0,2,14,0,100 Blk W. University Parkway EB,Baltimore,Final, , ,,,Hampden Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8529324.81,4769664.4871,3,3, , ,5142,Portable,0, ,0,2,14,0,100 Blk W. University Parkway WB,Baltimore,Final, , ,,,Hampden Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8536905.0661,4773779.4762,4,4, , ,5143,Portable,0, ,0,2,5,0,6100 blk Cross Country Blvd EB,Baltimore,Final, , ,,,Cross Country Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8536827.688,4773768.4761,5,5, , ,5144,Portable,0, ,0,2,5,0,6100 blk Cross Country Blvd WB,Baltimore,Final, , ,,,Cross Country Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8539240.6931,4763527.7758,6,6, , ,5145,Portable,0, ,0,3,8,0,5100 blk Baltimore National Pike EB,Baltimore,Final, , ,,,North Bend Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8539229.0767,4763569.5609,7,7, , ,5146,Portable,0, ,0,3,8,0,5100 blk Baltimore National Pike WB,Baltimore,Final, , ,,,North Bend Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8534153.2206,4766845.7879,8,8,T,Gwynns Falls Pkwy & N Dukeland St,5007,Portable,2, ,2006,2,7,1702,2700 blk Gywnns Falls Pkwy WB,Baltimore,Final,2-2006-2-7-1702, ,2017/04/20 00:00:00+00,2017/06/02 00:00:00+00,Gwynns Falls Elementary School, ,BAP006,BALP006,25,37, ,2,2017/06/17 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8522202.4859,4773130.4125,9,9,T,NB  Harford Rd & Christopher Ave,5013,Portable,2, ,2012,1,3,1702,6100 Blk Harford Rd NB                                 ,Baltimore,Final,2-2012-1-3-1702, ,2017/04/20 00:00:00+00,2017/05/08 00:00:00+00,Hamilton Elementary / Middle School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8523316.4884,4766474.869,10,10,T,Erdman Ave & Sinclair Ln,5022,Portable,2, ,2021,1,13,1702,4300 blk Erdman Ave NB,Baltimore,Final,2-2021-1-13-1702, ,2017/04/20 00:00:00+00,,Archbishop Curley High School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8534023.4018,4761820.5808,11,11,M,EB Frederick Ave & S Dukeland St,5027,Portable,2, ,2026,3,9,1702,2800 blk Frederick Ave EB,Baltimore,Final,2-2026-3-9-1702, ,2017/04/17 00:00:00+00,2017/05/08 00:00:00+00,Frederick Elementary School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8533187.6564,4766980.0676,12,12,T,WB Gwynns Falls Pkwy & Reisterstown Rd,5030,Portable,2, ,2029,2,7,1702,2300 blk Gwynns Falls Pkwy EB,Baltimore,Final,2-2029-2-7-1702, ,2017/03/29 00:00:00+00,2017/05/08 00:00:00+00,Frederick Douglass High School, ,BAP001,BALP001,25,37, ,2,2017/05/30 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8521236.8722,4767593.405,13,13,T,NB Moravia Rd & Sinclair Ln,5034,Portable,2, ,2033,1,2,1702,5600 blk Moravia Rd NB,Baltimore,Final,2-2033-1-2-1702,Moravia Rd. @ Sinclair Ln.,2017/02/28 00:00:00+00,2017/05/08 00:00:00+00,Vanguard Collegiate Middle School, ,BAP012,BALP012,30,42, ,3,2017/06/20 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8521259.0744,4767629.0864,14,14,T,SB Moravia Rd & Sinclair Ln,5035,Portable,2, ,2033,1,2,1702,5600 blk Moravia Rd SB,Baltimore,Final,2-2033-1-2-1702,Moravia Rd. @ Sinclair Ln.,2017/02/28 00:00:00+00,2017/05/08 00:00:00+00,Vanguard Collegiate Middle School, ,BAP011,BALP011,30,42, ,2,2017/06/20 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8524873.1052,4773552.8791,15,15,M,Ramblewood Rd &  Hillen  Rd,5041,Fixed,2, ,2039,1,4,1702,6001 Blk NB Hillen Road,Baltimore,Final,2BALP000-1-4-1700, ,2017/03/24 00:00:00+00,2017/07/15 00:00:00+00,Yorkwood Elementary School, , , ,0,0, ,0,, ,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
-8521127.5989,4771910.6157,16,16,T,Walther Ave & Glenmore Ave,5050,Portable,2, ,2048,3,9,1702,5900 blk Walther Ave. SB,Baltimore,Final,2-2048-3-9-1702,Walther Ave. @ Glenmore Ave.,2017/03/15 00:00:00+00,2017/05/16 00:00:00+00,Glenmount Elementary / Middle School, ,BAP002,BALP002,30,42, ,2,2017/05/31 00:00:00+00,YES,Phillip Mellerson,phillip.mellerson@baltimorecity.gov,kiesham.brice@baltimorecity.gov,Jason Chang
